Please note that (-9999) indicates a null value
Radiation, incoming PAR (PAR) [umol/m^2 s]

DateTime,TRF_MTN_100_SQ-110,TRF_MTN_300_SQ-110,TRF_MTN_700_SQ-110,TRF_MTN_1300_SQ-110
2019/08/27 18:45,4.993646,5.486763,10.089192,15.513484,
2019/08/27 19:00,2.856804,-1.909998,-1.088136,-0.595018,
2019/08/27 19:15,3.185549,-2.896233,-3.224978,-3.38935,
2019/08/27 19:30,3.021176,-3.553723,-3.38935,-3.224978,
2019/08/27 19:45,3.349921,-2.731861,-3.060606,-3.38935,
2019/08/27 20:00,3.678666,-2.896233,-2.896233,-3.882468,
2019/08/27 20:15,3.514293,-3.38935,-3.224978,-3.718095,
2019/08/27 20:30,3.349921,-3.224978,-3.060606,-3.553723,
2019/08/27 20:45,3.514293,-3.38935,-3.553723,-3.224978,
2019/08/27 21:00,3.843038,-3.38935,-3.38935,-3.882468,
2019/08/27 21:15,4.171783,-3.882468,-3.060606,-3.553723,
2019/08/27 21:30,4.171783,-2.896233,-3.718095,-3.060606,
2019/08/27 21:45,4.336156,-3.224978,-3.38935,-2.896233,
2019/08/27 22:00,4.664901,-3.224978,-2.896233,-3.718095,
2019/08/27 22:15,4.829273,-3.224978,-3.553723,-3.718095,
2019/08/27 22:30,4.664901,-3.060606,-3.553723,-3.553723,
2019/08/27 22:45,4.664901,-2.567488,-3.553723,-3.060606,
2019/08/27 23:00,4.336156,-2.896233,-3.060606,-3.718095,
2019/08/27 23:15,4.500528,-3.224978,-3.224978,-3.718095,
2019/08/27 23:30,4.829273,-3.060606,-2.896233,-3.224978,
2019/08/27 23:45,4.993646,-3.224978,-3.553723,-3.38935,
2019/08/28 00:00,4.664901,-2.731861,-3.224978,-3.718095,
2019/08/28 00:15,4.664901,-3.224978,-2.896233,-3.882468,
2019/08/28 00:30,4.664901,-3.060606,-3.553723,-3.224978,
2019/08/28 00:45,4.829273,-3.224978,-3.224978,-3.224978,
2019/08/28 01:00,4.829273,-3.224978,-3.224978,-3.553723,
2019/08/28 01:15,4.664901,-3.060606,-3.224978,-3.553723,
2019/08/28 01:30,4.829273,-2.896233,-3.060606,-3.882468,
2019/08/28 01:45,4.336156,-3.224978,-3.060606,-3.882468,
2019/08/28 02:00,4.500528,-3.060606,-3.224978,-3.553723,
2019/08/28 02:15,4.993646,-2.731861,-3.38935,-3.553723,
2019/08/28 02:30,4.993646,-2.896233,-3.553723,-3.553723,
2019/08/28 02:45,4.829273,-3.224978,-3.224978,-3.224978,
2019/08/28 03:00,4.829273,-3.224978,-3.224978,-3.553723,
2019/08/28 03:15,4.664901,-3.060606,-2.896233,-3.553723,
2019/08/28 03:30,4.993646,-3.224978,-3.224978,-3.553723,
2019/08/28 03:45,4.336156,-3.553723,-2.567488,-3.718095,
2019/08/28 04:00,4.829273,-2.731861,-3.224978,-3.718095,
2019/08/28 04:15,4.336156,-3.553723,-3.060606,-3.553723,
2019/08/28 04:30,4.664901,-3.224978,-3.224978,-3.553723,
2019/08/28 04:45,4.664901,-3.224978,-3.224978,-3.718095,
2019/08/28 05:00,4.829273,-3.224978,-3.224978,-3.38935,
2019/08/28 05:15,4.500528,-3.224978,-2.896233,-3.718095,
2019/08/28 05:30,4.829273,-3.224978,-3.224978,-3.718095,
2019/08/28 05:45,4.829273,-2.567488,-3.060606,-2.896233,
2019/08/28 06:00,5.815508,-0.101901,1.706196,3.021176,
2019/08/28 06:15,9.26733,6.472998,11.89729,17.321581,
2019/08/28 06:30,14.034132,17.814699,30.964497,63.838992,
2019/08/28 06:45,15.513484,21.266521,36.060044,59.07219,
2019/08/28 07:00,22.581501,36.224416,66.304579,109.698912,
2019/08/28 07:15,26.855185,44.936157,84.221179,143.39527,
2019/08/28 07:30,30.964497,52.990408,133.861666,183.173409,
2019/08/28 07:45,35.566926,63.510247,103.288386,214.568551,
2019/08/28 08:00,42.141825,80.440612,112.986362,239.71754,
2019/08/28 08:15,52.990408,107.233325,157.36693,378.612281,
2019/08/28 08:30,80.933729,302.507825,342.614709,377.461674,
2019/08/28 08:45,87.508628,174.461667,175.612275,559.915121,
2019/08/28 09:00,104.110248,155.558833,203.555596,282.947501,
2019/08/28 09:15,113.808224,244.319969,254.182318,294.782319,
2019/08/28 09:30,144.874622,366.448718,263.387176,972.654406,
2019/08/28 09:45,742.861686,260.592844,329.629284,336.6973,
2019/08/28 10:00,234.950738,702.59043,563.038198,346.559649,
2019/08/28 10:15,113.808224,870.907844,1043.99206,379.598516,
2019/08/28 10:30,123.177455,380.913496,848.06007,429.074631,
2019/08/28 10:45,175.28353,1108.754815,947.66979,874.852783,
2019/08/28 11:00,1065.524854,1024.596108,947.505417,1230.226074,
2019/08/28 11:15,524.739412,1075.715948,408.528072,1472.675475,
2019/08/28 11:30,719.685167,488.08435,1195.872227,1538.260093,
2019/08/28 11:45,1229.075467,1431.417984,539.039817,1390.160493,
2019/08/28 12:00,132.711059,1339.040653,1431.746729,1385.558063,
2019/08/28 12:15,282.125639,1398.872234,1296.632554,1418.761303,
2019/08/28 12:30,157.202558,1163.819594,480.358843,1183.544291,
2019/08/28 12:45,126.464905,643.251966,445.676251,591.145892,
2019/08/28 13:00,70.085146,226.567742,200.268146,279.166934,
2019/08/28 13:15,145.038994,1503.906245,722.315127,1490.756447,
2019/08/28 13:30,107.56207,1209.843887,1305.015551,780.667355,
2019/08/28 13:45,144.545877,653.607432,1484.674666,1413.665756,
2019/08/28 14:00,95.069762,982.516755,1427.801789,1428.459279,
2019/08/28 14:15,76.660045,153.915108,207.336162,261.414707,
2019/08/28 14:30,110.685147,373.18799,1281.181542,1366.983974,
2019/08/28 14:45,99.343446,266.345881,869.592864,1281.017169,
2019/08/28 15:00,94.90539,242.183127,904.932946,697.166138,
2019/08/28 15:15,105.918345,394.885156,592.789616,451.758033,
2019/08/28 15:30,35.566926,88.166118,138.957213,163.284339,
2019/08/28 15:45,33.758829,64.989599,120.383123,168.379886,
2019/08/28 16:00,31.950732,61.866522,94.90539,117.917536,
2019/08/28 16:15,32.115104,83.563689,173.804178,280.317541,
2019/08/28 16:30,42.47057,75.67381,103.781503,128.930492,
2019/08/28 16:45,35.402554,64.660854,91.124823,116.438184,
2019/08/28 17:00,33.594456,61.373405,88.98798,126.13616,
2019/08/28 17:15,28.663282,51.346684,78.961259,123.999318,
2019/08/28 17:30,36.553161,71.564498,196.158834,219.828471,
2019/08/28 17:45,29.320772,57.592838,123.5062,136.984743,
2019/08/28 18:00,24.225225,45.593647,132.217941,105.260855,
2019/08/28 18:15,16.170974,20.115913,29.1564,38.361258,
2019/08/28 18:30,5.979881,1.213079,3.185549,4.829273,
2019/08/28 18:45,4.336156,-1.416881,-1.581253,-1.252508,
2019/08/28 19:00,4.007411,-2.896233,-3.224978,-2.896233,
2019/08/28 19:15,3.843038,-3.224978,-3.224978,-3.718095,
2019/08/28 19:30,4.007411,-3.224978,-3.060606,-3.38935,
2019/08/28 19:45,4.171783,-2.896233,-3.224978,-3.553723,
2019/08/28 20:00,4.500528,-2.896233,-3.224978,-3.553723,
2019/08/28 20:15,4.336156,-3.060606,-2.896233,-3.553723,
2019/08/28 20:30,4.171783,-3.224978,-2.896233,-3.882468,
2019/08/28 20:45,4.007411,-2.731861,-2.896233,-3.718095,
2019/08/28 21:00,4.336156,-3.060606,-3.224978,-3.553723,
2019/08/28 21:15,4.500528,-2.403116,-3.224978,-3.718095,
2019/08/28 21:30,4.007411,-2.403116,-2.731861,-3.718095,
2019/08/28 21:45,4.664901,-2.567488,-3.060606,-3.718095,
2019/08/28 22:00,4.500528,-3.553723,-3.060606,-3.553723,
2019/08/28 22:15,4.664901,-2.731861,-3.060606,-3.882468,
2019/08/28 22:30,4.829273,-3.38935,-3.553723,-3.224978,
2019/08/28 22:45,4.336156,-2.896233,-2.731861,-3.882468,
2019/08/28 23:00,4.171783,-3.718095,-2.896233,-3.553723,
2019/08/28 23:15,4.664901,-2.731861,-3.553723,-3.224978,
2019/08/28 23:30,4.664901,-3.553723,-3.224978,-3.38935,
2019/08/28 23:45,4.500528,-2.896233,-3.224978,-3.718095,
2019/08/29 00:00,4.664901,-2.567488,-3.224978,-3.224978,
2019/08/29 00:15,4.664901,-2.896233,-3.224978,-3.553723,
2019/08/29 00:30,4.829273,-2.896233,-3.060606,-3.553723,
2019/08/29 00:45,4.171783,-3.553723,-2.896233,-3.38935,
2019/08/29 01:00,5.158018,-3.38935,-3.224978,-3.224978,
2019/08/29 01:15,4.171783,-3.060606,-3.882468,-3.553723,
2019/08/29 01:30,4.500528,-3.38935,-3.060606,-3.718095,
2019/08/29 01:45,4.500528,-3.553723,-3.38935,-3.718095,
2019/08/29 02:00,4.336156,-3.060606,-3.553723,-3.553723,
2019/08/29 02:15,4.500528,-3.060606,-2.896233,-3.224978,
2019/08/29 02:30,4.171783,-3.060606,-3.060606,-3.553723,
2019/08/29 02:45,4.500528,-3.060606,-3.060606,-3.224978,
2019/08/29 03:00,4.336156,-2.731861,-3.060606,-3.718095,
2019/08/29 03:15,4.500528,-3.224978,-3.224978,-3.224978,
2019/08/29 03:30,4.500528,-3.224978,-2.896233,-3.38935,
2019/08/29 03:45,4.500528,-2.731861,-3.38935,-3.718095,
2019/08/29 04:00,4.500528,-3.060606,-3.060606,-3.882468,
2019/08/29 04:15,4.500528,-3.553723,-2.731861,-3.882468,
2019/08/29 04:30,4.336156,-2.731861,-3.224978,-3.553723,
2019/08/29 04:45,4.664901,-2.896233,-3.38935,-3.060606,
