Please note that (-9999) indicates a null value
Radiation, incoming PAR (PAR) [umol/m^2 s]

DateTime,TRF_NETower_100_SQ-110,TRF_NETower_300_SQ-110,TRF_NETower_700_SQ-110,TRF_NETower_1300_SQ-110,TRF_NETower_2000_SQ-110
2019/08/27 06:00,0,0,0.22499999999999998,1.36,3.63,
2019/08/27 06:15,1.4749999999999999,2.385,3.5199999999999996,5.45,12.715,
2019/08/27 06:30,3.8600000000000003,5.5600000000000005,7.945,13.17,34.965,
2019/08/27 06:45,6.8100000000000005,8.855,12.035,19.3,61.1,
2019/08/27 07:00,8.285,12.940000000000001,14.76,21.909999999999997,84.9,
2019/08/27 07:15,10.22,16.8,17.03,26.110000000000003,111.7,
2019/08/27 07:30,11.01,17.03,20.21,34.855000000000004,367.84999999999997,
2019/08/27 07:45,14.530000000000001,19.185000000000002,22.25,39.735,514,
2019/08/27 08:00,14.985,20.435,21.115,41.65,624.5,
2019/08/27 08:15,17.03,28.494999999999997,21.115,44.25,697.5,
2019/08/27 08:30,17.255,24.75,22.82,48.25,799.5,
2019/08/27 08:45,20.884999999999998,24.18,24.52,56.550000000000004,858.5,
2019/08/27 09:00,22.25,25.655,28.945,91.25,920,
2019/08/27 09:15,20.435,24.064999999999998,31.33,116.44999999999999,961,
2019/08/27 09:30,22.705000000000002,24.405,36.324999999999996,86.05000000000001,1008,
2019/08/27 09:45,21.795,27.244999999999997,39.504999999999995,76.3,603.5,
2019/08/27 10:00,27.585,30.195,42.45,117.05,402.5,
2019/08/27 10:15,24.744999999999997,39.05,73.65,149.60000000000002,389.35,
2019/08/27 10:30,29.740000000000002,40.650000000000006,47,112.25,395.25,
2019/08/27 10:45,34.51,35.415,75.14999999999999,112.6,397.75,
2019/08/27 11:00,42.1,47.45,61.050000000000004,153.15,372.65,
2019/08/27 11:15,38.14,53.6,54.15,100.55,316,
2019/08/27 11:30,44.15,65.95,66.65,115.64999999999999,226.45,
2019/08/27 11:45,59.5,59.25,66.39999999999999,120.8,164.35,
2019/08/27 12:00,57.300000000000004,69,96.05000000000001,158.7,138.15,
2019/08/27 12:15,88.75,76.5,116.35,178.9,133.15,
2019/08/27 12:30,105.9,118.75,292.2,227.04999999999998,142.7,
2019/08/27 12:45,188.29999999999998,422.5,446,321.25,128.95,
2019/08/27 13:00,132.7,279.6,467,170.95,107.85,
2019/08/27 13:15,153.35000000000002,178.55,337,289.9,99.3,
2019/08/27 13:30,365.05,222.5,413,288.35,95.8,
2019/08/27 13:45,735.5,515.5,579.5,477.5,88.65,
2019/08/27 14:00,524,838,636.5,301.6,81.5,
2019/08/27 14:15,504.5,508.5,445.5,399.09999999999997,69.9,
2019/08/27 14:30,422,478.5,696,558.5,66.5,
2019/08/27 14:45,104.3,299.45,796,835.5,60.15,
2019/08/27 15:00,68.7,100.55,400.5,799.5,57.800000000000004,
2019/08/27 15:15,66.75,86.05000000000001,483,537.5,57,
2019/08/27 15:30,52.45,51.550000000000004,136.35,303.55,47.800000000000004,
2019/08/27 15:45,30.08,48.8,87.30000000000001,604.5,44.25,
2019/08/27 16:00,24.52,34.51,73.8,364.95,41.75,
2019/08/27 16:15,26.79,36.095,72.64999999999999,539,40.4,
2019/08/27 16:30,21.57,28.380000000000003,56.4,335.55,39.73,
2019/08/27 16:45,21.115,24.52,47.199999999999996,142.25,40.199999999999996,
2019/08/27 17:00,17.595,20.43,40.650000000000006,139.85,58.099999999999994,
2019/08/27 17:15,16.8,20.43,33.26,127.8,38.48,
2019/08/27 17:30,13.620000000000001,17.82,27.47,192.04999999999998,33.6,
2019/08/27 17:45,11.579999999999998,14.985,22.02,194.1,35.074999999999996,
2019/08/27 18:00,8.625,11.579999999999998,18.39,113.75,101.8,
2019/08/27 18:15,6.13,8.855,12.26,41.1,49.95,
2019/08/27 18:30,3.4050000000000002,5.45,8.4,18.955,24.29,
2019/08/27 18:45,3.18,3.4050000000000002,4.995,11.125,12.6,
2019/08/27 19:00,0,0.22499999999999998,1.36,3.18,3.5199999999999996,
2019/08/27 19:15,0,0,0,0,0,
2019/08/27 19:30,0,0,0,0,0,
2019/08/27 19:45,0,0,0,0,0,
2019/08/27 20:00,0,0,0,0,0,
2019/08/27 20:15,0,0,0,0,0,
2019/08/27 20:30,0,0,0,0,0,
2019/08/27 20:45,0,0,0,0,0,
2019/08/27 21:00,0,0,0,0,0,
2019/08/27 21:15,0,0,0,0,0,
2019/08/27 21:30,0,0,0,0,0,
2019/08/27 21:45,0,0,0,0,0,
2019/08/27 22:00,0,0,0,0,0,
2019/08/27 22:15,0,0,0,0,0,
2019/08/27 22:30,0,0,0,0,0,
2019/08/27 22:45,0,0,0,0,0,
2019/08/27 23:00,0,0,0,0,0,
2019/08/27 23:15,0,0,0,0,0,
2019/08/27 23:30,0,0,0,0,0,
2019/08/27 23:45,0,0,0,0,0,
2019/08/28 00:00,0,0,0,0,0,
2019/08/28 00:15,0,0,0,0,0,
2019/08/28 00:30,0,0,0,0,0,
2019/08/28 00:45,0,0,0,0,0,
2019/08/28 01:00,0,0,0,0,0,
2019/08/28 01:15,0,0,0,0,0,
2019/08/28 01:30,0,0,0,0,0,
2019/08/28 01:45,0,0,0,0,0,
2019/08/28 02:00,0,0,0,0,0,
2019/08/28 02:15,0,0,0,0,0,
2019/08/28 02:30,0,0,0,0,0,
2019/08/28 02:45,0,0,0,0,0,
2019/08/28 03:00,0,0,0,0,0,
2019/08/28 03:15,0,0,0,0,0,
2019/08/28 03:30,0,0,0,0,0,
2019/08/28 03:45,0,0,0,0,0,
2019/08/28 04:00,0,0,0,0,0,
2019/08/28 04:15,0,0,0,0,0,
2019/08/28 04:30,0,0,0,0,0,
2019/08/28 04:45,0,0,0,0,0,
2019/08/28 05:00,0,0,0,0,0,
2019/08/28 05:15,0,0,0,0,0,
2019/08/28 05:30,0,0,0,0,0,
2019/08/28 05:45,0,0,0,0,0,
2019/08/28 06:00,0,0,0,0.68,2.495,
2019/08/28 06:15,0.9099999999999999,1.705,2.495,4.3149999999999995,10.895,
2019/08/28 06:30,3.4050000000000002,4.54,6.695,10.67,29.4,
2019/08/28 06:45,5.220000000000001,7.039999999999999,9.535,16.12,46.900000000000006,
2019/08/28 07:00,7.835,13.620000000000001,13.735,21,81.5,
2019/08/28 07:15,10.215,17.025,17.025,26.675,117.85,
2019/08/28 07:30,11.240000000000002,17.03,20.435,33.6,370.55,
2019/08/28 07:45,14.985,19.07,24.975,38.824999999999996,496,
2019/08/28 08:00,16.12,21.57,21.115,41.8,602,
2019/08/28 08:15,17.03,25.655,23.84,47.45,653,
2019/08/28 08:30,19.41,29.4,26.564999999999998,54.6,748,
2019/08/28 08:45,20.435,24.52,27.360000000000003,64.5,812,
2019/08/28 09:00,24.29,25.425,32.58,79.7,621,
2019/08/28 09:15,21.57,24.975,34.51,108.75,902,
2019/08/28 09:30,25.085,24.634999999999998,40.199999999999996,77.2,668,
2019/08/28 09:45,25.2,27.244999999999997,41,75.5,399.7,
2019/08/28 10:00,26.22,31.105,43.150000000000006,140.2,390.7,
2019/08/28 10:15,27.014999999999997,37.46,68.55000000000001,187.5,387.1,
2019/08/28 10:30,30.65,41.900000000000006,48.150000000000006,102.6,399.54999999999995,
2019/08/28 10:45,37.46,41.75,56.75,94.80000000000001,407,
2019/08/28 11:00,39.955,50.75,57.9,105.7,393.45,
2019/08/28 11:15,42.35,50.300000000000004,58.099999999999994,120.9,344.85,
2019/08/28 11:30,48.35,60.599999999999994,61.75,132.7,245.85000000000002,
2019/08/28 11:45,57,67.55,69.35,127,177.3,
2019/08/28 12:00,59.5,70.5,96.85000000000001,159.4,147.35,
2019/08/28 12:15,76.5,78,118.65,190.5,142.5,
2019/08/28 12:30,113.75,118.05,251.45,234.35,139.3,
2019/08/28 12:45,201.64999999999998,343.45,404.5,316.3,131.7,
2019/08/28 13:00,27.7,32.47,54.050000000000004,59.5,70.4,
2019/08/28 13:15,144.3,138.75,253.95,234.65,104.45,
2019/08/28 13:30,266.65,195.5,387.8,309.7,126.89999999999999,
2019/08/28 13:45,547.5,463.5,544.5,345.3,124.2,
2019/08/28 14:00,630.5,762.5,389.79999999999995,441.5,114.75,
2019/08/28 14:15,525,546.5,571.5,471.5,102.85,
2019/08/28 14:30,90.60000000000001,132.79999999999998,272.65,242.25,92.85,
2019/08/28 14:45,99.55,173.2,661,654,94.45,
2019/08/28 15:00,62.65,81.5,221.1,442,78.8,
2019/08/28 15:15,95,97.4,545,508.5,86.05000000000001,
2019/08/28 15:30,32.01,39.39,65.7,218.4,64.5,
2019/08/28 15:45,15.549999999999999,19.75,34.28,59.5,30.875,
2019/08/28 16:00,12.030000000000001,15.440000000000001,23.384999999999998,51.3,20.43,
2019/08/28 16:15,13.85,17.71,30.65,75.85,18.16,
2019/08/28 16:30,11.125,14.305000000000001,21.115,45.199999999999996,21.115,
