Please note that (-9999) indicates a null value
Temperature (AirTempC) [degC]

DateTime,TRF_MTN_100_HMP45,TRF_MTN_300_HMP45,TRF_MTN_700_HMP45,TRF_MTN_1300_HMP45
2019/08/27 11:00,33.071389,33.485608,34.461981,40.385965,
2019/08/27 11:15,33.889964,34.284458,35.063584,41.717382,
2019/08/27 11:30,34.623066,34.52773,35.645462,42.821965,
2019/08/27 11:45,34.912361,34.784151,36.003794,43.903536,
2019/08/27 12:00,35.352879,35.30028,36.230628,45.468362,
2019/08/27 12:15,36.079406,35.652037,37.036054,46.688005,
2019/08/27 12:30,35.954483,36.059681,37.239875,47.118661,
2019/08/27 12:45,36.003794,36.506774,37.713268,47.200847,
2019/08/27 13:00,36.023519,36.842094,37.831616,47.230434,
2019/08/27 13:15,36.243778,37.236588,38.0716,47.398094,
2019/08/27 13:30,36.546224,36.822369,37.874353,46.960864,
2019/08/27 13:45,36.368701,36.904556,38.127487,47.411244,
2019/08/27 14:00,35.832847,37.036054,37.844766,47.818888,
2019/08/27 14:15,35.267406,36.753333,37.723131,47.664378,
2019/08/27 14:30,34.458693,36.332539,37.381236,47.204135,
2019/08/27 14:45,34.241721,36.155017,37.690256,47.335633,
2019/08/27 15:00,34.340345,36.132005,37.535746,47.536167,
2019/08/27 15:15,34.221997,36.187892,37.562045,47.440831,
2019/08/27 15:30,34.080636,36.118855,37.312199,46.185026,
2019/08/27 15:45,33.797916,35.947908,37.203713,45.698483,
2019/08/27 16:00,33.735454,35.783535,37.036054,44.166532,
2019/08/27 16:15,33.071389,35.707924,37.174126,44.268442,
2019/08/27 16:30,33.166726,35.250968,36.325964,43.492604,
2019/08/27 16:45,32.860993,34.780863,35.793398,42.111876,
2019/08/27 17:00,32.604572,33.99845,35.402191,41.84888,
2019/08/27 17:15,32.884005,33.968863,35.30028,41.960653,
2019/08/27 17:30,33.324523,34.698677,35.77696,41.437948,
2019/08/27 17:45,33.620394,35.13262,35.773673,41.385349,
2019/08/27 18:00,33.603956,34.981398,35.168782,40.609511,
2019/08/27 18:15,33.649981,34.113511,35.010985,39.347131,
2019/08/27 18:30,33.193025,33.83079,34.317333,38.298434,
2019/08/27 18:45,32.897155,33.114126,33.492183,36.851956,
2019/08/27 19:00,32.54211,32.473074,32.502661,34.711827,
2019/08/27 19:15,32.190353,32.042418,31.986531,33.321236,
2019/08/27 19:30,31.723535,31.687373,31.657786,32.364588,
2019/08/27 19:45,31.355341,31.102207,30.540053,31.792572,
2019/08/27 20:00,30.93126,30.694563,30.60909,31.154806,
2019/08/27 20:15,30.576215,30.198159,30.115972,30.757025,
2019/08/27 20:30,30.365819,29.908863,29.826677,30.349381,
2019/08/27 20:45,30.185009,29.662304,29.432183,29.721478,
2019/08/27 21:00,29.402596,29.254661,28.896329,28.899616,
2019/08/27 21:15,28.863454,28.893041,28.445948,28.761543,
2019/08/27 21:30,28.850304,28.64977,28.488685,28.399924,
2019/08/27 21:45,28.524847,28.317737,28.156652,28.117203,
2019/08/27 22:00,28.163227,28.150078,28.051454,27.801608,
2019/08/27 22:15,28.051454,27.762159,27.610936,27.719422,
2019/08/27 22:30,27.804895,27.624086,27.509025,27.426839,
2019/08/27 22:45,27.725997,27.223017,27.249316,27.292053,
2019/08/27 23:00,27.420264,27.242742,27.272329,27.305203,
2019/08/27 23:15,27.571486,27.229592,27.183567,27.127681,
2019/08/27 23:30,27.111244,26.867972,26.953446,27.035632,
2019/08/27 23:45,27.249316,26.851535,26.821948,26.894272,
2019/08/28 00:00,27.305203,26.792361,26.802223,26.785786,
2019/08/28 00:15,26.953446,26.713462,26.805511,26.697025,
2019/08/28 00:30,26.752912,26.641138,26.818661,26.401154,
2019/08/28 00:45,26.835098,26.486628,26.532652,26.634563,
2019/08/28 01:00,26.821948,26.299243,26.391292,26.36828,
2019/08/28 01:15,26.647713,26.374855,26.440604,26.138158,
2019/08/28 01:30,26.424167,26.111859,26.157883,26.263082,
2019/08/28 01:45,26.516215,26.082272,26.042822,26.121721,
2019/08/28 02:00,26.075697,25.970499,26.00666,26.016523,
2019/08/28 02:15,26.17432,25.957349,25.881737,25.73709,
2019/08/28 02:30,26.125009,25.931049,25.71079,25.783114,
2019/08/28 02:45,25.960636,25.72394,25.815988,25.595729,
2019/08/28 03:00,25.940912,25.720652,25.727227,25.602304,
2019/08/28 03:15,25.881737,25.635179,25.72394,25.447794,
2019/08/28 03:30,25.990223,25.72394,25.408345,25.658191,
2019/08/28 03:45,25.743665,25.332733,25.510256,25.441219,
2019/08/28 04:00,25.769964,25.464231,25.405057,25.526693,
2019/08/28 04:15,25.85215,25.382045,25.260409,25.036863,
2019/08/28 04:30,25.789689,25.237397,25.197948,25.191373,
2019/08/28 04:45,25.694353,25.368895,25.115762,25.266984,
2019/08/28 05:00,25.776539,25.184798,25.135486,24.941527,
2019/08/28 05:15,25.602304,24.921802,25.204523,24.934952,
2019/08/28 05:30,25.497106,25.158499,25.013851,24.91194,
2019/08/28 05:45,25.342596,25.06645,25.000701,24.921802,
2019/08/28 06:00,25.467519,24.980976,24.777154,24.990839,
2019/08/28 06:15,25.408345,24.826466,24.836328,24.671956,
2019/08/28 06:30,24.645656,24.044053,24.336636,24.274175,
2019/08/28 06:45,24.803454,24.106515,24.165689,24.56347,
2019/08/28 07:00,24.921802,24.198563,24.915227,24.849478,
2019/08/28 07:15,24.918515,24.905365,25.474094,26.276231,
2019/08/28 07:30,24.89879,24.944814,26.450466,26.854822,
2019/08/28 07:45,25.303146,25.076312,27.413689,27.568199,
2019/08/28 08:00,25.612167,25.592442,28.087616,28.419648,
2019/08/28 08:15,25.963924,26.065835,28.712231,29.553819,
2019/08/28 08:30,26.476766,26.463616,29.379584,30.576215,
2019/08/28 08:45,26.795648,27.676685,30.099535,31.864896,
2019/08/28 09:00,27.331503,28.097478,30.332944,33.035228,
2019/08/28 09:15,27.857495,27.96598,30.30007,34.254871,
2019/08/28 09:30,28.123778,28.692507,31.039746,35.362742,
2019/08/28 09:45,28.31445,29.297397,31.440815,36.776345,
2019/08/28 10:00,28.873316,29.981187,32.114742,37.368086,
2019/08/28 10:15,29.32041,30.724151,32.644021,37.94339,
2019/08/28 10:30,29.935163,31.312604,33.081252,38.640329,
2019/08/28 10:45,30.444717,31.878045,33.456021,39.054548,
2019/08/28 11:00,31.181106,32.23309,33.876815,39.186046,
2019/08/28 11:15,31.102207,32.923454,34.080636,40.05722,
2019/08/28 11:30,31.513138,32.778806,33.725592,40.175568,
2019/08/28 11:45,31.09892,32.226515,33.485608,41.424799,
2019/08/28 12:00,30.914823,32.068717,33.229187,42.259811,
2019/08/28 12:15,30.26062,31.907632,33.04509,42.736491,
2019/08/28 12:30,29.971325,31.88462,33.114126,43.913398,
2019/08/28 12:45,29.264523,31.73011,33.110839,43.597803,
2019/08/28 13:00,27.420264,29.142887,31.864896,39.90271,
2019/08/28 13:15,27.972555,29.875989,32.900442,38.614029,
2019/08/28 13:30,28.797705,31.450677,33.827503,39.965171,
2019/08/28 13:45,29.373009,32.288976,34.596766,41.3459,
2019/08/28 14:00,29.767503,33.120701,35.362742,43.30522,
2019/08/28 14:15,29.905576,33.433009,35.842709,44.146807,
2019/08/28 14:30,28.962078,31.881333,34.310758,41.996815,
2019/08/28 14:45,29.087001,31.690661,34.478418,41.83573,
2019/08/28 15:00,28.62347,31.805721,34.435681,41.566159,
2019/08/28 15:15,28.853592,31.726823,34.777576,41.516847,
2019/08/28 15:30,29.044264,30.523616,33.613819,39.698888,
2019/08/28 15:45,28.748393,28.699082,31.914207,37.164264,
2019/08/28 16:00,28.035017,27.36109,30.766887,35.040572,
2019/08/28 16:15,27.255891,26.789073,29.652442,33.271924,
2019/08/28 16:30,26.969883,26.417592,28.541284,31.592037,
2019/08/28 16:45,26.519503,25.671341,27.627373,30.138985,
2019/08/28 17:00,26.223632,25.769964,27.236167,28.99824,
2019/08/28 17:15,26.864685,26.88441,27.259179,29.349997,
2019/08/28 17:30,27.633948,27.755584,28.025154,30.306644,
2019/08/28 17:45,28.123778,28.245414,28.715519,31.075908,
2019/08/28 18:00,28.419648,28.584021,28.738531,31.164669,
2019/08/28 18:15,28.676069,28.787843,28.613608,30.773462,
2019/08/28 18:30,28.735244,28.419648,28.370337,29.892426,
2019/08/28 18:45,28.633333,28.334175,28.067891,29.310547,
2019/08/28 19:00,28.3276,28.278288,27.972555,28.613608,
2019/08/28 19:15,28.17309,27.880507,27.601073,28.100766,
2019/08/28 19:30,27.923244,27.315065,27.269041,27.259179,
2019/08/28 19:45,27.338078,27.190142,26.611551,26.572102,
2019/08/28 20:00,26.670725,26.361705,26.05926,26.088847,
2019/08/28 20:15,26.36828,26.069122,25.740377,25.444507,
2019/08/28 20:30,26.121721,25.510256,25.296571,25.237397,
2019/08/28 20:45,25.674628,25.339308,25.201235,25.017138,
2019/08/28 21:00,25.69764,25.289997,25.145349,24.823179,
2019/08/28 21:15,25.605592,25.105899,24.767292,24.652231,
2019/08/28 21:30,25.253835,24.869203,24.612782,24.39581,
2019/08/28 21:45,25.191373,24.810029,24.593057,24.454984,
2019/08/28 22:00,25.115762,25.174936,24.533883,24.293899,
2019/08/28 22:15,25.257122,24.764005,24.517446,24.43526,
2019/08/28 22:30,24.803454,24.727843,24.415535,24.297187,
2019/08/28 22:45,24.931665,24.520733,24.215001,24.234725,
2019/08/28 23:00,25.105899,24.402385,24.264312,24.139389,
2019/08/28 23:15,24.777154,24.412247,24.389235,24.11309,
2019/08/28 23:30,24.882353,24.474709,24.093365,23.981592,
2019/08/28 23:45,24.862628,24.356361,24.191988,24.198563,
2019/08/29 00:00,24.737705,24.369511,24.175551,24.053915,
2019/08/29 00:15,24.75743,24.484571,24.175551,24.067065,
2019/08/29 00:30,24.951389,24.030903,24.07364,23.807357,
2019/08/29 00:45,24.418822,24.083503,23.994741,23.984879,
2019/08/29 01:00,24.645656,24.136102,24.132814,23.991454,
2019/08/29 01:15,24.356361,24.274175,23.952005,24.172264,
2019/08/29 01:30,24.648944,24.307049,24.188701,23.909268,
2019/08/29 01:45,24.514158,24.165689,24.047341,23.830369,
2019/08/29 02:00,24.484571,24.303762,24.211713,23.833656,
2019/08/29 02:15,24.642369,23.948717,24.057203,23.902693,
2019/08/29 02:30,24.520733,24.28075,24.011179,23.810644,
